As Reported Annual Balance Sheet ,,,,,,,,,,,,,,,,,,,
Report Date,12/31/2023,,12/31/2022,,12/31/2021,,12/31/2020,,12/31/2019,,12/31/2018,,12/31/2017,,12/31/2016,,12/31/2015,,12/31/2014
Currency,CNY,,CNY,,CNY,,CNY,,CNY,,CNY,,CNY,,CNY,,CNY,,CNY
Audit Status,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified
Consolidated,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes
Scale,Billions,,Billions,,Billions,,Billions,,Billions,,Billions,,Billions,,Billions,,Billions,,Billions
"Property, plant & equipment, cost",-,,-,,-,,-,,-,,-,,-,,65.398,,58.273,,53.857
Less: total accumulated depreciation & impairment,-,,-,,-,,-,,-,,-,,-,,-23.349,,-20.147,,-17.478
Fixed Assets,230.904,,-,,-,,-,,-,,-,,-,,-,,-,,-
"Property, plant & equipment, net",-,,-,,-,,-,,-,,-,,-,,42.049,,38.126,,36.379
Investment properties,0.083,,0.085,,0.088,,0.094,,0.097,,0.09,,0.067,,-,,-,,-
Prepaid land lease payments,-,,-,,-,,-,,-,,-,,-,,5.183,,4.656,,4.448
Goodwill,4.428,,0.066,,0.066,,0.066,,0.066,,0.066,,0.066,,0.066,,0.066,,0.066
Other intangible assets,37.236,,-,,-,,-,,-,,-,,-,,6.759,,7.103,,6.307
Non-current prepayments,-,,-,,-,,-,,-,,-,,-,,4.567,,3.997,,2.411
Long term receivable,-,,-,,-,,-,,-,,-,,-,,0.254,,0.066,,0.315
Investments in joint ventures,-,,-,,-,,-,,-,,-,,-,,1.751,,1.522,,1.074
Investments in associates,-,,-,,-,,-,,-,,-,,-,,0.494,,0.367,,0.339
Other equity investment,5.327,,-,,-,,-,,-,,-,,-,,-,,-,,-
Available-for-sale investments,-,,-,,-,,-,,-,,-,,4.185,,3.225,,3.071,,0.035
Deferred tax assets,6.584,,3.687,,1.913,,1.769,,1.515,,1.388,,1.58,,1.448,,1.08,,0.965
Property under development,-,,-,,-,,-,,-,,-,,-,,0.921,,0.913,,0.834
Right of Use Tangible Assets - Net,9.679,,-,,-,,-,,-,,-,,-,,-,,-,,-
Total non-current assets,377.426,,253.057,,129.67,,89.412,,88.675,,79.361,,75.415,,66.717,,60.967,,53.175
Inventories,87.677,,79.107,,43.355,,31.396,,25.572,,26.33,,19.873,,17.378,,15.751,,9.978
Trade receivables,-,,-,,-,,-,,-,,-,,-,,39.876,,20.366,,13.374
Bills receivable,-,,-,,-,,-,,-,,-,,-,,6.362,,6.799,,9.352
Impairment,-,,-,,-,,-,,-,,-,,-,,-0.506,,-0.486,,-0.292
Trade & bills receivables,-,,-,,-,,-,,-,,-,,-,,45.733,,26.679,,22.435
Deposits & other receivables,-,,-,,-,,-,,-,,-,,-,,4.382,,3.041,,2.524
Impairment,-,,-,,-,,-,,-,,-,,-,,-0.149,,-0.15,,-0.095
Prepayments,2.215,,8.224,,2.037,,0.724,,0.363,,0.359,,0.849,,0.32,,0.334,,0.44
Loans to staff,-,,-,,-,,-,,-,,-,,-,,0.084,,0.054,,0.055
"Prepayments, deposits & other receivables",-,,-,,-,,-,,-,,-,,-,,4.635,,3.28,,2.923
Due from the joint ventures,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.977
Due from the joint ventures & associates,-,,-,,-,,-,,-,,-,,-,,2.879,,1.801,,-
Due from the related parties,-,,-,,-,,-,,-,,-,,-,,0,,0.338,,-
Completed property held for sale,-,,-,,-,,-,,-,,-,,-,,0.034,,0.056,,0.068
Derivative financial instruments,-,,-,,-,,-,,-,,-,,-,,-,,0.018,,-
Pledged deposits,-,,-,,-,,-,,-,,-,,-,,0.335,,0.317,,0.364
Short-term deposits,-,,-,,-,,-,,-,,-,,-,,0.247,,0.269,,0.139
Cash & cash equivalents,109.094,,51.471,,50.457,,14.445,,12.65,,13.052,,9.903,,7.111,,6.011,,3.95
Non-current assets due within one year,7.508,,-,,-,,-,,-,,-,,-,,-,,-,,-
Finance Receivable,5.565,,-,,-,,-,,-,,-,,-,,-,,-,,-
Total current assets,302.121,,240.804,,166.11,,111.605,,106.967,,115.211,,102.684,,78.354,,54.519,,40.834
Total assets,679.548,,493.861,,295.78,,201.017,,195.642,,194.571,,178.099,,145.071,,115.486,,94.009
Trade & bills payables,-,,-,,-,,-,,-,,-,,-,,34.663,,30.656,,25.851
Bills payables,4.053,,-,,-,,-,,-,,-,,-,,-,,-,,-
Other payables,-,,-,,-,,-,,-,,-,,-,,2.95,,2.439,,2.162
Accrued payroll,-,,-,,-,,-,,-,,-,,-,,2.979,,2.118,,1.471
Other payables,164.973,,122.124,,41.348,,9.28,,6.821,,8.631,,7.952,,5.929,,4.557,,3.633
Advances from customers,-,,-,,0.001,,0.008,,0.002,,0.002,,4.7,,1.851,,2.438,,3.583
Deferred income,-,,-,,-,,-,,-,,-,,-,,0.419,,0.156,,0.146
Bank loans- secured,-,,-,,-,,-,,-,,-,,-,,19.79,,-,,-
Bank loans - unsecured,-,,-,,-,,-,,-,,-,,-,,5.22,,-,,-
Current portion of long-term bank loans - secured,-,,-,,-,,-,,-,,-,,-,,2.067,,-,,-
Current portion of long-term bank loans - unsecured,-,,-,,-,,-,,-,,-,,-,,1.883,,-,,-
Current portion of other borrowings - secured,-,,-,,-,,-,,-,,-,,-,,0.972,,-,,-
Corporate bonds - unsecured,-,,-,,-,,-,,-,,-,,-,,2.997,,-,,-
Interest-bearing bank & other borrowings,-,,-,,-,,-,,-,,-,,-,,32.928,,26.413,,19.173
Due to joint ventures & associates,-,,-,,-,,-,,-,,-,,-,,0.464,,0.393,,0.024
Due to related parties,-,,-,,-,,-,,-,,-,,-,,0.117,,0.429,,0.062
Tax payable,7.852,,4.326,,1.779,,1.859,,0.614,,1.081,,0.951,,0.654,,0.289,,0.143
Provision,-,,-,,-,,-,,-,,-,,-,,1.293,,0.779,,0.408
Other Current Liabilities,2.62,,-,,-,,-,,-,,-,,-,,-,,-,,-
Contract Liabilities - Short-Term,34.699,,-,,-,,-,,-,,-,,-,,-,,-,,-
Total current liabilities,453.667,,333.345,,171.304,,106.431,,108.029,,116.569,,104.997,,78.318,,66.11,,53.022
Net current assets (liabilities),-,,-,,-,,-,,-,,-,,-,,0.036,,-11.591,,-12.188
Total assets less current liabilities,-,,-,,-,,-,,-,,-,,-,,66.753,,49.376,,40.987
Interest-bearing bank & other borrowings,-,,-,,-,,-,,-,,-,,-,,9.339,,11.23,,10.979
Deferred tax liabilities,3.951,,2.019,,0.61,,0.393,,0.103,,0.066,,0.61,,0.55,,0.568,,-
Deferred income,-,,-,,-,,-,,-,,-,,-,,1.455,,1.546,,1.11
Other liabilities,-,,-,,-,,-,,-,,-,,-,,0.001,,0.002,,0.003
Lease liabilities,8.847,,-,,-,,-,,-,,-,,-,,-,,-,,-
Total non-current liabilities,75.419,,39.126,,20.232,,30.133,,25.011,,17.308,,13.145,,11.344,,13.346,,12.092
Net assets,-,,-,,-,,-,,-,,-,,-,,55.409,,36.029,,28.894
Domestic shares,-,,-,,-,,-,,-,,-,,-,,1.813,,1.561,,1.561
H shares,-,,-,,-,,-,,-,,-,,-,,0.915,,0.915,,0.915
Share capital,2.911,,-,,-,,-,,-,,-,,-,,-,,-,,-
Share capital,-,,2.911,,2.911,,2.728,,2.728,,2.728,,2.728,,2.728,,2.476,,2.476
Share premium account,62.042,,-,,-,,-,,-,,-,,-,,19.98,,5.864,,5.864
Capital reserve,-,,-,,-,,-,,-,,-,,-,,5.602,,5.432,,4.433
Statutory surplus reserve fund,-,,-,,-,,-,,-,,-,,-,,3.073,,2.385,,2.109
Exchange fluctuation reserve,-,,-,,-,,-,,-,,-,,-,,-0.161,,-0.164,,-0.154
Retained profits,7.374,,-,,-,,-,,-,,-,,-,,16.237,,13.103,,10.638
Reserves,-,,-,,-,,-,,-,,-,,-,,44.732,,26.618,,22.89
